Year,Income,Geography
2020,64994,United States
2020,54833,Tennessee
2020,59250,"Knox County"
2020,56857,"Knoxville"
2020,51861,"Oak Ridge(East) Clinton Cities"
2020,63559,"Knox County (East)"
2020,41245,"Knoxville City"
2020,87782,"Farragut Town"
2019,62843,United States
2019,53320,Tennessee
2019,57470,"Knox County"
2019,54636,"Knoxville"
2019,50164,"Oak Ridge(East) Clinton Cities"
2019,61194,"Knox County (East)"
2019,39341,"Knoxville City"
2019,85755,"Farragut Town"
2018,60293,United States
2018,50972,Tennessee
2018,54437,"Knox County"
2018,52113,"Knoxville"
2018,48134,"Oak Ridge(East) Clinton Cities"
2018,58226,"Knox County (East)"
2018,36652,"Knoxville City"
2018,83088,"Farragut Town"
2017,57652,United States
2017,48708,Tennessee
2017,52458,"Knox County"
2017,49820,"Knoxville"
2017,46218,"Oak Ridge(East) Clinton Cities"
2017,55923,"Knox County (East)"
2017,35809,"Knoxville City"
2017,79064,"Farragut Town"
2016,55322,United States
2016,46574,Tennessee
2016,50366,"Knox County"
2016,47357,"Knoxville"
2016,43792,"Oak Ridge(East) Clinton Cities"
2016,54443,"Knox County (East)"
2016,34243,"Knoxville City"
2016,76174,"Farragut Town"
2015,53889,United States
2015,45219,Tennessee
2015,48701,"Knox County"
2015,45660,"Knoxville"
2015,42355,"Oak Ridge(East) Clinton Cities"
2015,52752,"Knox County (East)"
2015,33959,"Knoxville City"
2015,73869,"Farragut Town"
2014,53482,United States
2014,44621,Tennessee
2014,47543,"Knox County"
2014,44906,"Knoxville"
2014,43118,"Oak Ridge(East) Clinton Cities"
2014,52104,"Knox County (East)"
2014,33248,"Knoxville City"
2014,73477,"Farragut Town"
2013,53046,United States
2013,44298,Tennessee
2013,47694,"Knox County"
2013,44666,"Knoxville"
2013,42246,"Oak Ridge(East) Clinton Cities"
2013,52561,"Knox County (East)"
2013,33304,"Knoxville City"
2013,72031,"Farragut Town"